,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
3228,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.95,4.95,5.0,4.85,1.0,20,66,230,5,7
3229,within a day,50%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,2 baths,"['email', 'phone']",5.0,5.0,5.0,4.82,2.0,11,0,360,2,1125
3230,DESCONOCIDO,DESCONOCIDO,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.91,5.0,4.94,4.9,2.0,79,249,139,2,30
3231,DESCONOCIDO,DESCONOCIDO,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.96,4.98,4.9,4.88,1.0,81,258,139,2,30
3232,within a day,60%,t,Entire guesthouse,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,4.94,4.71,4.53,1.0,49,108,149,3,1125
3233,within a day,60%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.96,4.96,4.91,4.78,4.0,24,3,240,2,1125
3234,DESCONOCIDO,100%,f,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,['phone'],4.71,5.0,4.71,4.71,2.0,7,0,130,7,30
3235,within a few hours,31%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.68,5.0,5.0,4.5,1.0,24,8,240,5,1125
3236,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.9,4.93,4.9,4.64,1.0,189,310,184,1,1125
3237,a few days or more,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,3,64,140,20,1125
3238,within an hour,100%,t,Entire place,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,4.0,6,45,400,3,1125
3239,DESCONOCIDO,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,3,3,296,3,8
3240,within a day,80%,t,Entire rental unit,Netherlands,f,f,t,1 bath,"['email', 'phone']",3.94,4.9,4.74,4.42,1.0,32,0,105,2,3
3241,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.88,4.88,4.38,4.5,2.0,8,33,379,4,10
3242,within an hour,100%,t,Room in bed and breakfast,"Amsterdam, Netherlands",t,f,t,DESCONOCIDO,"['email', 'phone']",5.0,5.0,5.0,4.96,1.0,28,53,246,2,1125
3243,within an hour,100%,t,Room in bed and breakfast,"Amsterdam, Netherlands",t,f,t,DESCONOCIDO,"['email', 'phone']",5.0,5.0,4.98,4.86,1.0,66,16,226,2,1125
3244,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.96,4.91,4.87,4.96,1.0,23,0,161,1,1125
3245,within a day,38%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,4.8,4.7,4.5,1.0,10,123,225,2,20
3246,within a few hours,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.8,4.9,4.8,4.6,1.0,0,0,200,2,1125
3247,within an hour,96%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.76,4.88,4.65,4.63,2.0,155,42,186,4,1125
3248,within a day,33%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,1,37,400,7,75
3249,within an hour,100%,t,Boat,"Amsterdam, Netherlands",t,t,t,2.5 baths,"['email', 'phone']",4.92,4.96,4.81,4.69,3.0,77,243,500,2,14
3250,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.96,4.88,4.88,4.62,1.0,26,7,63,3,1125
3251,within a day,29%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.2,5.0,5.0,4.73,3.0,15,83,250,5,1125
3252,within an hour,86%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.93,5.0,4.64,4.79,2.0,14,28,500,2,1125
3253,within an hour,99%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 shared bath,['phone'],4.0,4.49,4.58,3.98,1.0,123,43,97,3,1125
3254,DESCONOCIDO,DESCONOCIDO,f,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,3.0,7,0,380,5,28
3255,within an hour,99%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 shared bath,['phone'],4.22,4.6,4.61,4.28,1.0,114,49,109,3,1125
